﻿Licitacoes2025
Nº da Licitação;Modalidade;Situação;Órgão;Código COMPRASNET;Tipo;Objeto;Edital;Total Homologado;
"90119/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DOS MEDICAMENTO(S) PERTENCENTE(S) AO(S) GRUPO: 09.L.01.B - ANTIMETABÓLITOS E GRUPO: 09.L.01.X - OUTROS AGENTES ANTINEOPLÁSICOS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901192025";62.800,00;
"90115/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  PROCESSO PARA POTENCIAL COMPRA DOS MEDICAMENTO(S) PERTENCENTE(S) AO(S) GRUPO: 09.J.01.C - ANTIBACTERIANOS BETA-LACTÂMICOS, PENICILINAS, GRUPO: 09.M.05.B - MEDICAMENTOS QUE AFETAM A ESTRUTURA ÓSSEA E MINERALIZAÇÃO E GRUPO: 09.M.03.A - RELAXANTES MUSCULARES, AGENTES DE AÇÃO PERIFÉRICA, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901152025";607.671,00;
"90114/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE INSUMOS NECESSÁRIOS PARA O DIAGNÓSTICO E TESTE DE SENSIBILIDADE DE DOENÇAS INFECCIOSAS DE ORIGEM FÚNGICA E PARASITÁRIA, OBJETIVANDO A RÁPIDA DETECÇÃO E INVESTIGAÇÃO DE SURTOS, CONFIRMAÇÃO E DELINEAMENTO DOS PERFIS DE TRANSMISSÃO, INFERÊNCIA SOBRE A ORIGEM E VEÍCULOS DE TRANSMISSÃO DAS LINHAGENS PESQUISADAS, GARANTINDO A PROTEÇÃO E A PROMOÇÃO DA SAÚDE PÚBLICA, BEM COMO RAPIDEZ NA TOMADA DE DECISÕES, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDE";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901142025";188.808,00;
"90113/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE CAPELA DE FLUXO LAMINAR, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL   SESDF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901132025";74.400,00;
"90109/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE INSUMO(S) À SAÚDE PERTENCENTE(S) AO(S) GRUPO: 3601 - ARTIGOS PARA SVS, PAPEL MILIMETRADO E CANETA PILOT HI, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901092025";11.278,00;
"90108/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE INSUMO À SAÚDE PADRONIZADO PERTENCENTE AO GRUPO 36.26.02 - INSUMOS PARA CAPTAÇÃO E TRANSPLANTE, ELETRODO DE AGULHA UNITÁRIA SUBDÉRMICA 13MM DESCARTÁVEL, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901082025";38.102,40;
"90106/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DOS MEDICAMENTOS PADRONIZADOS PERTENCENTES AOS GRUPOS: 09.R.03.A - INALANTES ADRENÉRGICOS E 09.R.03.D - OUTROS MEDICAMENTOS SISTÊMICOS PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901062025";1.607.144,64;
"90100/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO POTENCIAL DE INSUMO(S) À SAÚDE PERTENCENTE(S) AO(S) GRUPO 36.08.01 (AGULHAS HIPODÉRMICAS), EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=901002025";14.883,89;
"90099/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE INSUMOS À SAÚDE PADRONIZADOS PERTENCENTES AOS GRUPO 36.07.06 - ACESSÓRIOS PARA OSTOMIA, GRUPO 36.07.05 - RECIPIENTES COM SISTEMA DE DRENAGEM E 36.07.06 - ACESSÓRIOS PARA OSTOMIAX, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900992025";1.868.788,53;
"90097/2025";"PREGÃO";"EVENTO DE ALTERAÇÃO DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE MEDICAMENTO(S) PERTENCENTE(S) AO(S) GRUPO 0936 (MEDICAMENTOS CADASTRADOS DE COMPRA ESPECIFICA), EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900972025";1.916.702,21;
"90096/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  POTENCIAL COMPRA/CONTRATAÇÃO, EM SISTEMA DE REGISTRO DE PREÇOS, VIA PREGÃO, DE INSUMOS NECESSÁRIOS PARA O DIAGNÓSTICO DE DIFERENTES AGRAVOS QUE EMPREGAM DIVERSAS TÉCNICAS DE BIOLOGIA MOLECULAR, OBJETIVANDO A RÁPIDA DETECÇÃO E INVESTIGAÇÃO DE SURTOS, CONFIRMAÇÃO E DELINEAMENTO DOS PERFIS DE TRANSMISSÃO, INFERÊNCIA SOBRE A ORIGEM E VEÍCULOS DE TRANSMISSÃO DAS LINHAGENS PESQUISADAS, GARANTINDO A PROTEÇÃO E A PROMOÇÃO DA SAÚDE PÚBLICA, BEM COMO RAPIDEZ NA TOMADA DE DECISÕE";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900962025";149.207,70;
"90094/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  POTENCIAL COMPRA/CONTRATAÇÃO DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME) PERTENCENTE(S) AO(S) GRUPO: 36.90.21.1 - MEDICINA FÍSICA - COMPRA REGULAR, NOS TERMOS DA TABELA ABAIXO, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900942025";2.013.226,00;
"90090/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE SACOS AUTOCLAVÁVEIS PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900902025";7.180,20;
"90089/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE INSUMOS À SAÚDE PADRONIZADOS PERTENCENTES AOS GRUPOS: 36.01.04 - COMPRESSAS DE GAZE, 36.01.01 - ADESIVOS E 3614 - MATERIAIS PARA CIRURGIA DE VÍDEO, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900892025";98.520,00;
"90088/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE INSUMO(S) À SAÚDE PERTENCENTE(S) AO(S) GRUPO: 10.01 - BROCAS ODONTOLÓGICAS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900882025";72.210,77;
"90087/2025";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - DF";"926119";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DE MATERIAL ODONTOLÓGICO - CONES, GRAMPOS E LIMAS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=900872025";37.833,37;
